"","linII.time","ips","ips.interval","ips.adp","log.ips","log.ips.interval","log.ips.adp","mds","mds.interval","mds.apd","log.mds","log.mds.interval","log.mds.apd","ptt","ptt.interval","ptt.adp","log.ptt","log.ptt.interval","log.ptt.adp"
"5000",0,3,0,1,1.38629436111989,0,1,3,0,1,1.38629436111989,0,1,4.14285714285714,0.433774134775231,1,1.61572999178957,0.0860738599399374,0
"5250",250,3,0,1,1.38629436111989,0,1,2.93103448275862,0.0624107728906944,1,1.36510039019613,0.0188602365279077,1,4.22222222222222,0.230522042734269,1,1.63554804283245,0.0404457667460309,0
"5500",500,3,0,1,1.38629436111989,0,1,2.8695652173913,0.0785260022849474,1,1.344673811299,0.025112904195991,1,4.12244897959184,0.170338680465386,1,1.61862409644708,0.0324026316008237,0
"5750",750,3,0,1,1.38629436111989,0,1,2.81818181818182,0.133636363636364,1,1.33398852976502,0.0368080803121692,1,4.21739130434783,0.300740679287052,1,1.64197355616839,0.0500812145774017,0
"6000",1000,3,0,1,1.38629436111989,0,1,2.875,0.125295036429406,1,1.34738952617201,0.0370300198271263,1,3.6875,0.310371460589383,1,1.52674208377601,0.0605405584914673,0
"6250",1250,3,0,1,1.38629436111989,0,1,2.65853658536585,0.200837390310712,1,1.27657043046256,0.0559743318016813,1,3.37142857142857,0.242201666094235,1,1.4613116929665,0.0519055240377722,0
"6500",1500,3,0,1,1.38629436111989,0,1,2.3448275862069,0.32663892074003,1,1.16532113140145,0.103912880743016,0,3.34782608695652,0.199024947463902,1,1.46390950940309,0.039550937069466,0
"6750",1750,2.875,0.245,1,1.34297266233489,0.0779192458631506,1,2.25,0.282901631902917,1,1.16317136705253,0.0904861508073234,0,2.8125,0.197525314833314,1,1.33235397253518,0.0568244919329384,0
"7000",2000,3,0,1,1.38629436111989,0,1,2.275,0.24298142801246,1,1.15416825146107,0.0761133420867514,0,3.13888888888889,0.293769456933767,1,1.39775005786356,0.0669127425203744,0
"7250",2250,3,0,1,1.38629436111989,0,1,1.77777777777778,0.338205783184188,1,0.979439589990487,0.138182378987533,0,2.35294117647059,0.288235294117647,0,1.1932187239066,0.0888308390175302,0
"7500",2500,3,0,1,1.38629436111989,0,1,2.14285714285714,0.347297256849784,1,1.12288357963888,0.113299882592982,0,2.81818181818182,0.443669149310144,1,1.32225425319455,0.102852322097459,0
"7750",2750,3,0,1,1.38629436111989,0,1,1.69565217391304,0.312581125403879,1,0.954725858260167,0.101847324012964,0,2.80952380952381,0.257302243372351,1,1.32535125006835,0.0657820920022851,0
"8000",3000,3,0,1,1.38629436111989,0,1,1.4,0.372866374634846,0,0.828302216596,0.160865938206177,0,2.35714285714286,0.331755238785371,0,1.19294281199686,0.102796907008367,0
"8250",3250,2.86842105263158,0.183636088696633,1,1.33157221528621,0.0651379589270651,1,1.41666666666667,0.225984266905661,0,0.844284553954432,0.0890190270541864,0,2.78787878787879,0.26644653448527,1,1.31229958449843,0.0647896290039902,0
"8500",3500,3,0,1,1.38629436111989,0,1,1.42424242424242,0.283291035572305,0,0.829881489357788,0.103291005327566,0,2.51851851851852,0.218706471874813,1,1.24539045508246,0.0548685402582291,0
"8750",3750,2.90322580645161,0.13465760951468,1,1.35508197317596,0.04416545864314,1,1.39285714285714,0.21,0,0.848230507471853,0.0768463190643402,0,2.72727272727273,0.320632982772941,1,1.29610133751712,0.0744249240631118,0
"9000",4000,2.90666666666667,0.0974855801785553,1,1.35575133672409,0.0291449890666375,1,1.47058823529412,0.158642918366583,1,0.872672640357835,0.0678176795987542,0,2.87234042553191,0.257216202403865,1,1.32747478166891,0.0640046719641232,0
"9250",4250,2.80645161290323,0.184029459705619,1,1.32389191688022,0.0604853323725528,1,1.21428571428571,0.233333333333333,0,0.755277304420268,0.10318296182344,0,2.75,0.338866396655981,1,1.29922740133161,0.0788482433385251,0
"9500",4500,2.90666666666667,0.101672987384243,1,1.35727509196417,0.0324285053486793,1,1.28571428571429,0.153569983516957,0,0.806189996313316,0.0574978251636008,0,2.95121951219512,0.215917229167288,1,1.35867254871686,0.0536659127876797,0
"9750",4750,2.71666666666667,0.141430750582757,1,1.30165866428439,0.0432515908391859,1,1.40909090909091,0.204697289194871,1,0.834050809134465,0.0897057839463,0,2.65116279069767,0.202712403503533,1,1.27843567059746,0.0540231661566706,0
"10000",5000,2.20192307692308,0.156482696917017,1,1.1271234833242,0.0503108278592348,1,1.1980198019802,0.117080721318165,0,0.746636096148469,0.0575119404673986,0,2.70212765957447,0.159179225307379,1,1.28799959156337,0.039624646734867,0
"10250",5250,2.21454545454545,0.239181884037375,1,1.11939990695756,0.0796287675591075,0,1.13461538461538,0.152514409438705,0,0.726601862638581,0.0675371757334968,0,2.39583333333333,0.231525130242499,0,1.19155840527133,0.071976289155709,0
"10500",5500,2.11707317073171,0.180477435837471,1,1.0973313383859,0.0564462798420635,0,1.16216216216216,0.0925860057791331,0,0.755010683598407,0.0387063475824509,0,2.45833333333333,0.197442073674696,0,1.21399797711069,0.0519258950948465,0
"10750",5750,2.32820512820513,0.262976253780167,1,1.16549642959557,0.0822569207050434,1,1.03125,0.186365789943569,0,0.669857706131853,0.0930771093983681,0,2.24242424242424,0.24171582097239,0,1.15373442292174,0.0748691870155556,0
"11000",6000,2.38333333333333,0.279540734459617,1,1.18048187291658,0.0827959647917647,1,1.10714285714286,0.232944119829119,0,0.695492431792708,0.110196267979813,0,2.59259259259259,0.318339577378107,1,1.25562705011331,0.0788081728762876,0
